,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
0,0.9,1.0,1434.0,21,5.0,4.95,324,0.19,4.95,Entire home/apt,Entire loft
1,0.9,1.0,830.0,61,4.95,4.88,346,0.54,5.0,Entire home/apt,Entire guest suite
2,0.9,1.0,1469.0,39,4.58,4.71,87,0.31,4.92,Entire home/apt,Entire rental unit
3,0.86,1.0,3658.0,0,4.98,4.7,363,0.46,4.78,Entire home/apt,Entire villa
4,0.86,1.0,18000.0,64,4.98,4.7,357,0.46,4.78,Entire home/apt,Entire home
5,0.7,1.0,2561.0,78,5.0,4.71,240,0.7,4.85,Entire home/apt,Entire loft
6,0.95,1.0,650.0,84,4.75,4.88,144,0.58,4.94,Entire home/apt,Entire condo
7,1.0,1.0,1089.0,62,4.94,4.9,168,0.94,4.95,Private room,Private room in home
8,1.0,1.0,943.0,18,4.88,4.75,156,0.15,4.75,Entire home/apt,Entire condo
9,0.58,0.92,2561.0,120,4.34,4.69,270,0.95,4.88,Entire home/apt,Entire home
10,0.98,1.0,1881.0,272,4.95,4.96,153,2.63,4.99,Entire home/apt,Entire rental unit
11,0.73,0.75,2088.0,47,4.98,4.73,362,0.34,4.91,Entire home/apt,Entire rental unit
12,1.0,1.0,402.0,585,4.62,4.69,358,5.61,4.79,Entire home/apt,Entire loft
13,1.0,1.0,1097.0,114,4.96,4.95,145,0.84,4.98,Entire home/apt,Entire rental unit
14,0.87,0.9,1006.0,23,4.83,4.83,340,0.18,5.0,Hotel room,Room in serviced apartment
15,0.87,0.9,998.0,7,4.43,4.29,350,0.06,4.43,Entire home/apt,Entire serviced apartment
16,0.0,0.0,726.0,5,4.8,4.2,363,0.04,4.6,Private room,Private room in rental unit
17,0.0,0.0,375.0,5,4.4,4.6,284,0.04,4.8,Private room,Private room in home
18,0.0,1.0,2835.0,0,4.89,5.0,365,0.12,4.78,Private room,Private room in rental unit
19,0.99,1.0,3413.0,10,4.89,5.0,317,0.12,4.78,Entire home/apt,Entire loft
20,0.99,1.0,1200.0,80,4.89,4.84,303,0.77,4.96,Entire home/apt,Entire rental unit
21,0.4,1.0,1244.0,0,5.0,4.91,88,0.1,5.0,Private room,Private room
22,0.4,1.0,817.0,12,5.0,4.91,280,0.1,5.0,Entire home/apt,Tiny home
23,1.0,1.0,950.0,37,4.86,4.67,341,0.33,4.81,Entire home/apt,Entire guest suite
24,1.0,1.0,549.0,4,5.0,5.0,336,0.04,5.0,Private room,Private room in home
25,0.4,1.0,672.0,9,5.0,4.78,304,0.08,5.0,Entire home/apt,Entire loft
26,0.95,0.91,2049.0,215,4.87,4.92,88,1.93,4.96,Entire home/apt,Entire rental unit
27,1.0,1.0,3449.0,297,4.71,4.86,194,2.09,4.92,Entire home/apt,Entire home
28,0.33,0.5,1543.0,158,4.96,4.97,295,1.41,4.96,Private room,Private room in townhouse
29,0.77,1.0,302.0,90,4.98,4.59,354,0.82,4.94,Private room,Private room in rental unit
30,1.0,1.0,500.0,27,4.7,4.93,328,0.25,4.93,Private room,Private room in home
31,1.0,1.0,1050.0,38,4.97,4.63,153,0.35,5.0,Entire home/apt,Entire rental unit
32,0.98,0.95,672.0,66,4.66,4.8,214,0.53,4.94,Entire home/apt,Entire condo
33,1.0,1.0,1434.0,370,4.93,4.68,324,3.3,4.68,Entire home/apt,Entire loft
34,1.0,1.0,1310.0,54,4.43,4.47,356,0.46,4.68,Entire home/apt,Entire loft
35,1.0,1.0,1037.0,44,4.89,4.68,155,0.33,4.86,Entire home/apt,Entire loft
36,1.0,1.0,794.0,20,4.85,4.4,197,0.18,4.9,Entire home/apt,Entire serviced apartment
37,1.0,1.0,50000.0,101,4.92,4.65,0,0.73,4.88,Entire home/apt,Entire rental unit
38,1.0,1.0,5000.0,24,5.0,4.58,0,0.21,4.79,Entire home/apt,Entire loft
39,1.0,1.0,1900.0,67,4.96,4.81,26,0.49,5.0,Entire home/apt,Entire rental unit
40,0.75,1.0,870.0,174,4.85,4.65,305,1.24,4.81,Entire home/apt,Entire rental unit
41,1.0,0.33,850.0,18,4.94,4.72,348,0.16,4.89,Entire home/apt,Entire rental unit
42,1.0,1.0,817.0,26,4.96,4.84,365,0.33,4.96,Entire home/apt,Entire rental unit
43,0.58,0.92,402.0,127,4.46,4.67,307,1.02,4.92,Private room,Private room in home
44,1.0,1.0,2800.0,40,4.88,4.9,363,0.42,5.0,Entire home/apt,Entire rental unit
45,0.33,1.0,480.0,9,4.89,5.0,269,0.07,5.0,Private room,Private room in rental unit
46,0.0,1.0,1200.0,27,4.96,4.31,363,0.21,4.85,Entire home/apt,Entire rental unit
47,0.97,1.0,788.0,42,4.95,4.86,155,0.43,4.98,Entire home/apt,Entire rental unit
48,0.94,1.0,4714.0,4,4.5,4.25,362,0.05,4.75,Entire home/apt,Entire home
49,0.98,1.0,1017.0,335,4.88,4.85,361,2.4,4.95,Entire home/apt,Entire rental unit
50,0.98,1.0,900.0,249,4.89,4.88,365,1.79,4.93,Entire home/apt,Entire rental unit
51,0.81,1.0,545.0,99,4.99,4.96,313,0.72,4.95,Entire home/apt,Entire rental unit
52,0.0,1.0,2269.0,136,4.97,4.84,211,1.09,4.93,Entire home/apt,Entire rental unit
53,0.87,0.9,1006.0,31,4.97,4.94,332,0.25,5.0,Hotel room,Room in serviced apartment
54,1.0,1.0,1880.0,253,4.9,4.91,326,2.4,4.97,Entire home/apt,Entire loft
55,0.87,0.9,908.0,49,5.0,4.92,350,0.46,5.0,Hotel room,Room in serviced apartment
56,0.87,0.9,908.0,23,4.96,4.91,272,0.19,4.91,Entire home/apt,Entire serviced apartment
57,1.0,1.0,591.0,20,4.68,4.32,365,0.15,4.32,Private room,Private room in rental unit
58,1.0,1.0,3014.0,319,4.78,4.89,194,2.32,4.94,Entire home/apt,Entire home
